method,rows,mae,rmse,mean_pinball,interval_coverage,interval_width,pinball_improvement_vs_baseline_pct
shifted_time_leakage_control,23003,2.6515812525859004,4.764701783932888,1.007258611440179,0.9075337999391384,13.865096215119614,27.02734773322378
numerical_baseline,23003,4.331069927955498,6.222889823285744,1.3803234227499424,0.8209363996000522,14.342801448298541,0.0
objective_plus_participation,23003,4.434742268622707,6.108497102077408,1.4241265589334067,0.6729122288397166,14.33456639257293,-3.173396572246651
participation_history_proxy,23003,4.438333616139175,6.106827705512686,1.4285197362494984,0.6685649697865496,14.328305455422464,-3.491668163069865
objective_opportunity,23003,4.444093387446362,6.115411759013549,1.4288975774611758,0.6711298526279181,14.33889313689739,-3.519041545673541
shuffled_player_control,23003,4.459831683088465,6.1332714239678765,1.4399119069324602,0.6705647089510064,14.33522863391437,-4.316994350773457
