method,rows,mae,rmse,mean_pinball,interval_coverage,interval_width,pinball_improvement_vs_baseline_pct
shifted_time_leakage_control,23003,4.048741145087333,5.764137288234846,1.3070444585417453,0.7906360039994783,14.155340660522311,5.308825670885695
numerical_baseline,23003,4.331069927955498,6.222889823285744,1.3803234227499424,0.8209363996000522,14.342801448298541,0.0
objective_sources_combined,23003,4.351086387743738,6.04462003212709,1.401138007138537,0.7173846889536147,14.283657983872462,-1.5079498069464754
objective_plus_availability,23003,4.352545885861415,6.043775993342074,1.4014734443480223,0.7182106681737165,14.285147827758061,-1.532251155743193
pass_participation,23003,4.362808907659503,6.054071629679619,1.4052104933691656,0.715515367560753,14.291086565260805,-1.802988358311134
snap_counts,23003,4.401920743761731,6.0751223081989725,1.4164673735103201,0.6752597487284268,14.319140231733817,-2.618513180655168
depth_charts,23003,4.447424053536045,6.11546044810115,1.4339687618290784,0.6698691475024997,14.331050182986493,-3.8864325704378317
shuffled_player_control,23003,4.452538317420395,6.126269248860938,1.4370345181328752,0.6710429074468548,14.33634566073968,-4.108536771038084
official_availability,23003,4.453800168996667,6.116635296922228,1.4379363385681272,0.6680432987001695,14.336570496146164,-4.173870765983656
